DATE,VALEVRW,MOMEVRW,VALSS,MOMSS,VALAA,MOMAA,VALUS,MOMUS,VALUK,MOMUK,VALEU,MOMEU,VALJP,MOMJP,VALEQ,MOMEQ,VALFX,MOMFX,VALFI,MOMFI,VALCM,MOMCM
19720131,0.01006460124,-0.01295478521,,0.01124141577,0.01006460124,-0.02948058164,,,,0.01124141577,,,,,,,,,,,0.01006460124,-0.02948058164
19720229,-0.0358739366,0.03962855184,-0.05561343699,0.03741695268,-0.02239202821,0.04113905497,-0.05561343699,0.04760094282,,0.02266079109,,,,,,,,,,,-0.02239202821,0.04113905497
19720331,0.05478858412,-0.04141286365,-0.007108307924,0.01572049703,0.09706362713,-0.08043445585,-0.007108307924,0.0186447344,,0.01148340346,,,,,,,,,,,0.09706362713,-0.08043445585
19720430,0.006933583109,0.01054107086,-0.005526520405,0.02179349121,0.01544372626,0.002855764889,-0.005526520405,0.0202808681,,0.02398521673,,,,,,,,,,,0.01544372626,0.002855764889
19720531,-0.01849778947,0.007798589707,-0.05322164643,0.01509036798,0.005218305115,0.002818368089,-0.05322164643,0.05809417612,,-0.04722029153,,,,,,,,,,,0.005218305115,0.002818368089
19720630,-0.0152846373,-0.02922346038,-0.03216285959,0.004888647662,-0.003756957158,-0.05252173574,-0.03216285959,0.0256656085,,-0.02521627068,,,,,,,,,,,-0.003756957158,-0.05252173574
19720731,0.09020660715,-0.0554707422,-0.002262369158,0.01116147244,0.1533621198,-0.1009799697,-0.002262369158,0.0118573637,,0.01015315608,,,,,,,,,,,0.1533621198,-0.1009799697
19720831,0.04419928435,-0.04221763926,0.06631194427,-0.03497000904,0.02909652849,-0.04716770813,0.06631194427,-0.05724515892,,-0.002694279534,,,,,,,,,,,0.02909652849,-0.04716770813
19720930,-0.006119514244,0.01444143162,-0.00619704796,0.002237710897,-0.006066559386,0.02277646754,-0.00619704796,0.006766211022,,-0.004323890074,,,,,,,,,,,-0.006066559386,0.02277646754
19721031,0.02590610811,-0.03311875749,0.004974235015,0.01030128557,0.04020239676,-0.06277427212,0.004974235015,-0.004058054541,,0.03110734881,,,,,,,,,,,0.04020239676,-0.06277427212
19721130,0.01296515523,-0.0191741372,0.07005683485,-0.02705786007,-0.02602796917,-0.01378962253,0.07005683485,-0.05757498563,,0.01716013601,,,,,,,,,,,-0.02602796917,-0.01378962253
19721231,-0.07448718608,-0.01158620996,-0.0576394638,0.03875744504,-0.08599403497,-0.04597049178,-0.0576394638,0.06303499248,,0.003580327999,,,,,,,,,,,-0.08599403497,-0.04597049178
19730131,-0.01231268784,-0.005251203026,-0.002532007006,0.01931435597,-0.01899280842,-0.02202926779,-0.002532007006,0.04596583884,,-0.01930249089,,,,,,,,,,,-0.01899280842,-0.02202926779
